INFO:root:ML fraud detector loaded successfully
INFO:root:Booting rt-processor … BOOTSTRAP=localhost:9092
INFO:kafka.conn:<BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
INFO:kafka.conn:Probing node bootstrap-0 broker version
INFO:kafka.conn:<BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
INFO:kafka.conn:Broker version identified as 2.5.0
INFO:kafka.conn:Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
INFO:kafka.consumer.subscription_state:Updating subscribed topics to: ('transactions_raw',)
INFO:kafka.conn:<BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
INFO:kafka.conn:Probing node bootstrap-0 broker version
INFO:kafka.conn:<BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
INFO:kafka.conn:Broker version identified as 2.5.0
INFO:kafka.conn:Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
INFO:root:Processor started → raw=transactions_raw → clean=transactions_rt
INFO:kafka.cluster:Group coordinator for rt-processor-v1 is BrokerMetadata(nodeId='coordinator-1', host='localhost', port=9092, rack=None)
INFO:kafka.coordinator:Discovered coordinator coordinator-1 for group rt-processor-v1
INFO:kafka.coordinator:Starting new heartbeat thread
INFO:kafka.coordinator.consumer:Revoking previously assigned partitions set() for group rt-processor-v1
INFO:kafka.conn:<BrokerConnection node_id=coordinator-1 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
INFO:kafka.conn:<BrokerConnection node_id=coordinator-1 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
INFO:kafka.conn:<BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Closing connection. 
INFO:kafka.coordinator:(Re-)joining group rt-processor-v1
INFO:kafka.coordinator:Elected group leader -- performing partition assignments using range
INFO:kafka.conn:<BrokerConnection node_id=1 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
INFO:kafka.conn:<BrokerConnection node_id=1 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
INFO:kafka.coordinator:Successfully joined group rt-processor-v1 with generation 1
INFO:kafka.consumer.subscription_state:Updated partition assignment: [TopicPartition(topic='transactions_raw', partition=0)]
INFO:kafka.coordinator.consumer:Setting newly assigned partitions {TopicPartition(topic='transactions_raw', partition=0)} for group rt-processor-v1
/Users/nguyenthanh/Library/Python/3.9/lib/python/site-packages/xgboost/core.py:160: UserWarning: [03:05:14] WARNING: /Users/runner/work/xgboost/xgboost/src/gbm/../common/error_msg.h:80: If you are loading a serialized model (like pickle in Python, RDS in R) or
configuration generated by an older version of XGBoost, please export the model by calling
`Booster.save_model` from that version first, then load it back in current version. See:

    https://xgboost.readthedocs.io/en/stable/tutorials/saving_model.html

for more details about differences between saving model and serializing.

  warnings.warn(smsg, UserWarning)
INFO:ml_fraud_detector:Loaded model from /Users/nguyenthanh/Master/DataEngineering/final/realtime-pipeline-kafka-pinot-final/models/fraud_detection_latest/model.pkl
INFO:ml_fraud_detector:Loaded 44 features
INFO:kafka.conn:<BrokerConnection node_id=1 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
INFO:kafka.conn:<BrokerConnection node_id=1 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
INFO:kafka.conn:<BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Closing connection. 
INFO:root:CLEAN <- RAW off=0 → p=0, off=0 | label=0 risk=0.78
INFO:root:CLEAN <- RAW off=1 → p=0, off=1 | label=0 risk=0.29
INFO:root:CLEAN <- RAW off=2 → p=0, off=2 | label=0 risk=0.76
INFO:root:CLEAN <- RAW off=3 → p=0, off=3 | label=0 risk=0.33
INFO:root:CLEAN <- RAW off=4 → p=0, off=4 | label=0 risk=0.42
INFO:root:CLEAN <- RAW off=5 → p=0, off=5 | label=0 risk=0.41
INFO:root:CLEAN <- RAW off=6 → p=0, off=6 | label=0 risk=0.37
INFO:root:CLEAN <- RAW off=7 → p=0, off=7 | label=0 risk=0.46
INFO:root:CLEAN <- RAW off=9 → p=0, off=8 | label=0 risk=0.91
INFO:root:CLEAN <- RAW off=10 → p=0, off=9 | label=0 risk=0.76
INFO:root:CLEAN <- RAW off=11 → p=0, off=10 | label=0 risk=0.36
INFO:root:CLEAN <- RAW off=12 → p=0, off=11 | label=0 risk=0.34
INFO:root:CLEAN <- RAW off=13 → p=0, off=12 | label=0 risk=0.36
INFO:root:CLEAN <- RAW off=14 → p=0, off=13 | label=0 risk=0.75
INFO:root:CLEAN <- RAW off=15 → p=0, off=14 | label=0 risk=0.36
INFO:root:CLEAN <- RAW off=16 → p=0, off=15 | label=0 risk=0.39
INFO:root:CLEAN <- RAW off=17 → p=0, off=16 | label=0 risk=0.50
INFO:root:CLEAN <- RAW off=18 → p=0, off=17 | label=0 risk=0.89
INFO:root:CLEAN <- RAW off=21 → p=0, off=18 | label=0 risk=0.36
INFO:root:CLEAN <- RAW off=22 → p=0, off=19 | label=0 risk=0.37
INFO:root:CLEAN <- RAW off=23 → p=0, off=20 | label=0 risk=0.41
INFO:root:CLEAN <- RAW off=24 → p=0, off=21 | label=0 risk=0.36
INFO:root:CLEAN <- RAW off=25 → p=0, off=22 | label=0 risk=0.36
INFO:root:CLEAN <- RAW off=26 → p=0, off=23 | label=0 risk=0.75
INFO:root:CLEAN <- RAW off=27 → p=0, off=24 | label=0 risk=0.39
INFO:root:CLEAN <- RAW off=28 → p=0, off=25 | label=0 risk=0.47
INFO:root:CLEAN <- RAW off=29 → p=0, off=26 | label=0 risk=0.37
INFO:root:CLEAN <- RAW off=30 → p=0, off=27 | label=0 risk=0.36
INFO:root:CLEAN <- RAW off=31 → p=0, off=28 | label=0 risk=0.51
INFO:root:CLEAN <- RAW off=32 → p=0, off=29 | label=0 risk=0.36
INFO:root:CLEAN <- RAW off=33 → p=0, off=30 | label=0 risk=0.46
INFO:root:CLEAN <- RAW off=34 → p=0, off=31 | label=0 risk=0.36
INFO:root:CLEAN <- RAW off=35 → p=0, off=32 | label=0 risk=0.46
INFO:root:CLEAN <- RAW off=36 → p=0, off=33 | label=0 risk=0.86
INFO:root:CLEAN <- RAW off=37 → p=0, off=34 | label=0 risk=0.71
INFO:root:CLEAN <- RAW off=38 → p=0, off=35 | label=0 risk=0.36
INFO:root:CLEAN <- RAW off=39 → p=0, off=36 | label=0 risk=0.41
INFO:root:CLEAN <- RAW off=40 → p=0, off=37 | label=0 risk=0.34
INFO:root:CLEAN <- RAW off=41 → p=0, off=38 | label=0 risk=0.73
INFO:root:CLEAN <- RAW off=42 → p=0, off=39 | label=0 risk=0.42
INFO:root:CLEAN <- RAW off=43 → p=0, off=40 | label=0 risk=0.41
INFO:root:CLEAN <- RAW off=44 → p=0, off=41 | label=0 risk=0.52
INFO:root:CLEAN <- RAW off=45 → p=0, off=42 | label=0 risk=0.36
INFO:root:CLEAN <- RAW off=46 → p=0, off=43 | label=0 risk=0.37
INFO:root:CLEAN <- RAW off=48 → p=0, off=44 | label=0 risk=0.41
INFO:root:CLEAN <- RAW off=49 → p=0, off=45 | label=0 risk=0.36
INFO:root:CLEAN <- RAW off=50 → p=0, off=46 | label=0 risk=0.37
INFO:root:CLEAN <- RAW off=51 → p=0, off=47 | label=0 risk=0.36
INFO:root:CLEAN <- RAW off=52 → p=0, off=48 | label=0 risk=0.41
INFO:root:CLEAN <- RAW off=53 → p=0, off=49 | label=0 risk=0.91
INFO:root:CLEAN <- RAW off=54 → p=0, off=50 | label=0 risk=0.42
INFO:root:CLEAN <- RAW off=55 → p=0, off=51 | label=0 risk=0.40
